,0
CYB5B,-1.7198589944654064
AMBN,0.0
SLC25A32,-0.2900937626709563
GNA11,-0.2053112699070363
IGF2BP2,0.5118974767938815
PCDHA6,-0.004279065835152193
CHD4,-0.33588501379090907
TAB2,1.809135903645359
COL24A1,-0.0025002612202327124
CLCNKA,-0.03454512332821717
CAMK2N2,-0.3970236188493992
TPSG1,-0.0515353681300965
C7orf69,0.17069599096608568
COL5A1,0.4897360482854993
NOL4,0.0
C1QTNF5,0.0
LYPD8,0.0
SLC18A1,0.0
MRPL1,0.0782900087276377
HPN,-0.0874097285588764
IKZF5,1.7595170497113277
PPBP,-0.0013307098395289874
CPB2,-0.07267842780832967
ZWINT,-1.7888457209045465
OR2M7,0.0
YIPF1,-1.1592590752354095
RAI14,1.0235831531384356
PSMA6,0.09510190742934199
STATH,0.0
HIST1H2AG,-0.020609611284735374
AIP,-0.5433940289845136
HIST1H4H,0.17273263349706447
CHMP2A,0.037608455372151184
TTC34,-0.004683105506892653
NALCN,-0.3023908689233884
RFX2,0.5555133393411423
CTBS,-0.46465481687709764
ZNF639,1.6991430087628387
AOC3,1.5920802680852808
TYW5,1.269208272183091
BMPR1A,-0.14677681895884032
SCNN1D,0.00867142310171043
TREM2,0.013597175216785468
MIA3,-0.4177931929281491
PLD6,3.1886439015105825
GPR4,0.0
ARFGAP1,-0.24784347942590257
GLRA2,0.0
ESM1,0.0
UBE2L3,-0.8332479975557252
TYRP1,0.0
RBKS,-0.9621023711951611
P2RY1,0.4800164515071781
JARID2,0.5084235455839297
SP5,-0.15649041113605805
ZNF503,0.5577047463609963
PTPRZ1,0.00546163306319208
IGFBP2,-1.0814511882017923
SLC16A9,-0.2135255972943976
EIF3I,-0.30253053208209923
KRT77,0.0
NIP7,-0.18010090475238005
RASL12,0.13789414105897266
CHRNE,-0.08276760730358126
ARMC8,0.1385515869921088
UGDH,-1.454742479923694
ACVR2A,0.7709138869965684
TIMM10B,0.3401471088619563
OAF,0.28138332713611147
CCDC138,0.12772637624870464
UBE2F,-0.19378323753412685
TMTC3,-1.0456632290586523
TSNAX-DISC1,0.06502905164897974
C7orf55-LUC7L2,0.0
RSBN1L,0.39942868836897594
MEIS1,0.38929826395772704
STX7,-0.30139109559711663
SNAP25,2.1772298082830783
NDOR1,0.023030521875187393
SH3BP1,-0.14680161603523995
KLC4,-0.13047048962021157
ANKRD44,-0.13957363030792652
GCNT1,-0.06181333296519398
VCAM1,-0.03140025242579608
CCR7,0.6227976789000029
GHRHR,-0.008392023581216742
PITPNA,-0.7066130115095492
CYS1,-0.29683881317130245
SNX6,-0.030599812297878337
PDE6B,-0.04559871671240241
NRGN,-1.0058203680286928
MBLAC2,-0.7922870925672454
PIGY,0.0
STX5,-0.23044626060122564
ZNF516,-0.07952828233647091
ARAP2,0.21713737537191252
TMIGD1,-0.07253681616449925
ICAM2,0.018180431247367956
NBPF9,0.5453221769180743
TAS2R14,0.6950156603225883
EPAS1,-0.15881583862705995
RPL13A,-0.43649152659642887
NKTR,0.8058920641655578
PJA1,0.19295007021812483
LRRC17,-0.06906590002325427
CDK8,1.010079829085282
PROP1,0.0
GC,0.0
BCHE,-0.482253116806483
LAPTM4A,-0.7527284604872779
ACOT6,-0.07591695263433115
PSMA1,-0.12416872866961093
PPP2R3B,-0.2629899311700915
BEND2,0.0
RFX6,0.0
ATL2,0.3197873069224544
ALKBH2,-0.5460596611767281
TBC1D8,0.13799754673346243
LPO,-0.00035742512626699575
DNAJC5G,0.0
SLC39A6,-0.8772078927706861
UBE2J2,-0.006931454206856369
KCNS1,-0.036630183798883484
STX1B,1.1180549598233542
MED14,-0.05121566351402285
SMAD9,-0.03268916362280308
LALBA,0.0
NUP133,-0.6988913895402744
COX8C,0.0
SLC27A4,-1.1015006089861692
TBXA2R,-0.07976305212733378
GRID1,-0.17112706980738718
SLC8A2,0.074043553597953
LRRC66,0.46652643965215157
GOLGA4,1.0968385400250833
CDK5RAP1,0.020303302626451192
OR8I2,0.0
FAT4,-0.47548347299930094
ZNF626,0.0
ADAMTS4,0.02383007522220423
SULT2B1,-0.3951833172281183
NLRC5,2.2462759193571147
HNMT,-0.5583740988674017
TREML4,0.0
DCK,-0.7937964113469982
HLA-DQB1,0.12024727540654005
FCAR,0.0
MYH3,1.5466995345758794
TTC13,-0.9843644672040797
RABL6,-0.8210820898097828
SPAM1,0.0
IL18,-0.806192036598326
CRYGB,0.0
SLC25A38,-0.19367408010867315
PAXBP1,1.1533470370690937
OR7D4,0.0
